,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,세하,"1,315","1,355","1,290",-20,-1.50%,172.76K,11월 29일,
,SG 충방,"1,680","1,695","1,660",0,0.00%,172.28K,11월 29일,
,현대일렉트릭,"42,850","43,900","42,250",250,0.59%,171.21K,15:56:38,
,파미셀,"10,100","10,100","9,720",350,3.59%,169.83K,11월 29일,
,현대그린푸드,"6,860","6,890","6,740",40,0.59%,169.53K,11월 29일,
,하이브,"144,000","146,000","137,000",6000,4.35%,168.36K,11월 29일,
,대한제당,"2,730","2,730","2,650",40,1.49%,168.19K,11월 29일,
,F&F,"149,500","150,000","142,500",6500,4.55%,166.88K,15:56:02,
,방림,"8,090","8,200","7,880",-50,-0.61%,166.41K,11월 29일,
,NPC,"7,150","7,150","6,980",120,1.71%,163.55K,11월 29일,
,현대에너지솔루션,"66,900","67,300","65,500",-500,-0.74%,162.19K,11월 29일,
,토니모리,"3,745","3,765","3,510",235,6.70%,160.30K,11월 29일,
,신세계인터내셔날,"24,100","24,100","23,500",150,0.63%,160.27K,11월 29일,
,일진머티리얼즈,"61,100","61,100","59,400",1100,1.83%,160.19K,11월 29일,
,SNT중공업,"9,650","9,760","9,360",290,3.10%,159.68K,11월 29일,
,엔케이,968,968,943,16,1.68%,158.05K,11월 29일,
,디와이파워,"13,850","13,850","13,350",200,1.47%,157.95K,11월 29일,
,LG헬로비전,"5,000","5,040","4,905",65,1.32%,154.88K,11월 29일,
,BGF,"3,690","3,750","3,585",75,2.07%,153.87K,11월 29일,
,신성통상,"2,460","2,465","2,340",75,3.14%,151.56K,11월 29일,
,대원제약,"17,850","17,850","16,850",700,4.08%,151.17K,11월 29일,
,GS리테일,"29,500","29,800","29,000",400,1.37%,150.39K,11월 29일,
,금호타이어,"3,010","3,040","2,950",50,1.69%,148.53K,11월 29일,
,화승엔터프라이즈,"9,350","9,350","9,100",110,1.19%,146.81K,11월 29일,
,SNT에너지,"22,750","23,300","22,450",-350,-1.52%,146.00K,11월 29일,
,삼성증권,"35,150","35,300","34,250",550,1.59%,145.17K,11월 29일,
,현대모비스,"208,500","211,000","205,000",0,0.00%,144.79K,11월 29일,
,HL만도,"47,950","48,150","46,950",550,1.16%,142.45K,11월 29일,
,SK네트웍스,"4,170","4,190","4,120",5,0.12%,141.54K,11월 29일,
,한전기술,"60,600","61,500","60,600",-500,-0.82%,140.95K,11월 29일,
,오리온,"116,000","117,000","112,000",4000,3.57%,139.80K,11월 29일,
,LX인터내셔널,"40,350","40,400","39,550",700,1.77%,139.08K,11월 29일,
,삼성SDI,"718,000","724,000","713,000",-9000,-1.24%,138.02K,11월 29일,
,페이퍼코리아,"1,255","1,265","1,230",-10,-0.79%,136.16K,11월 29일,
,AJ네트웍스,"6,080","6,100","5,730",220,3.75%,132.82K,11월 29일,
,경농,"10,050","10,350","9,960",-50,-0.50%,131.93K,11월 29일,
,영원무역,"47,250","47,750","46,250",-300,-0.63%,131.40K,11월 29일,
,백산,"8,830","8,880","8,610",220,2.56%,130.94K,11월 29일,
,SKC,"109,500","111,500","107,000",500,0.46%,130.34K,11월 29일,
,세방전지,"46,450","47,900","45,000",1450,3.22%,130.06K,11월 29일,
,형지엘리트,"1,585","1,595","1,565",0,0.00%,129.84K,11월 29일,
,에스엘,"28,000","28,100","27,550",350,1.27%,129.41K,11월 29일,
,한국조선해양,"76,700","76,900","75,500",700,0.92%,128.67K,11월 29일,
,화성산업,"12,600","12,800","12,350",-450,-3.45%,128.34K,11월 29일,
,한화,"28,850","28,850","28,200",550,1.94%,128.18K,11월 29일,
,넷마블,"49,200","49,300","46,950",650,1.34%,127.94K,11월 29일,
,한국타이어앤테크놀로지,"34,050","34,350","33,650",200,0.59%,125.05K,11월 29일,
,제일기획,"24,000","24,150","23,700",200,0.84%,124.96K,11월 29일,
,대원화성,"2,645","2,680","2,620",25,0.95%,124.15K,11월 29일,
,황금에스티,"7,690","7,690","7,410",180,2.40%,123.16K,11월 29일,
,대우조선해양,"19,100","19,150","18,650",200,1.06%,121.21K,11월 29일,
,LS Electric,"58,200","60,300","58,000",-1600,-2.68%,120.06K,11월 29일,
,일진홀딩스,"4,425","4,430","4,280",120,2.79%,119.55K,11월 29일,
,백광산업,"4,590","4,605","4,500",35,0.77%,118.62K,11월 29일,
,LG생활건강,"654,000","658,000","614,000",37000,6.00%,117.10K,11월 29일,
,유진투자증권,"2,720","2,725","2,635",35,1.30%,117.08K,11월 29일,
,SK바사,"80,700","81,100","79,800",900,1.13%,115.84K,11월 29일,
,보해양조,658,659,644,7,1.08%,114.01K,11월 29일,
,동양,"1,050","1,065","1,030",10,0.96%,113.80K,11월 29일,
,휠라홀딩스,"32,900","33,450","32,550",0,0.00%,113.69K,11월 29일,
,LG화학,"715,000","720,000","706,000",-4000,-0.56%,111.45K,11월 29일,
,LS,"74,200","75,900","73,700",-500,-0.67%,111.24K,11월 29일,
,오리온홀딩스,"15,300","15,500","15,000",250,1.66%,110.46K,11월 29일,
,DL이앤씨,"40,350","40,600","39,850",300,0.75%,109.29K,11월 29일,
,미래에셋생명,"2,820","2,840","2,810",0,0.00%,108.65K,11월 29일,
,이스타코,993,999,961,18,1.85%,107.42K,11월 29일,
,효성중공업,"89,800","90,800","86,300",1100,1.24%,107.14K,11월 29일,
,하나투어,"52,100","52,200","49,750",1900,3.78%,106.29K,11월 29일,
,세아베스틸,"18,900","18,950","18,500",-100,-0.53%,104.62K,11월 29일,
,제이알글로벌,"4,300","4,310","4,265",0,0.00%,104.41K,11월 29일,
,HD현대,"64,800","64,900","64,100",300,0.47%,104.24K,11월 29일,
,SK그룹,"215,500","217,000","208,500",5000,2.38%,104.01K,11월 29일,
,서원,"1,410","1,430","1,385",10,0.71%,103.37K,11월 29일,
,롯데지주,"32,400","32,550","31,600",600,1.89%,102.79K,11월 29일,
,한국금융지주,"57,200","57,600","55,500",700,1.24%,102.02K,11월 29일,
,무림P&P,"4,580","4,610","4,465",40,0.88%,101.96K,11월 29일,
,송원산업,"17,550","17,700","17,100",300,1.74%,101.54K,11월 29일,
,신세계I&C,"13,600","13,700","12,850",700,5.43%,98.49K,11월 29일,
