,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,와이지-원,"7,140","7,170","6,750",330,4.85%,170.29K,11월 29일,
,폴라리스오피스,"1,555","1,555","1,495",50,3.32%,169.80K,11월 29일,
,동국알앤에스,"3,865","3,975","3,835",-45,-1.15%,169.68K,11월 29일,
,신진에스엠,"3,025","3,025","2,955",35,1.17%,168.80K,11월 29일,
,아바코,"16,000","16,000","15,350",300,1.91%,168.62K,11월 29일,
,파인테크닉스,"2,360","2,365","2,310",-20,-0.84%,167.80K,11월 29일,
,오디텍,"5,110","5,190","5,100",-70,-1.35%,167.49K,11월 29일,
,오픈베이스,"2,690","2,695","2,610",65,2.48%,166.26K,11월 29일,
,NICE평가정보,"12,500","12,650","11,950",600,5.04%,166.00K,11월 29일,
,에이스테크,"5,360","5,360","5,140",110,2.10%,163.27K,11월 29일,
,TJ미디어,"6,200","6,280","6,010",-60,-0.96%,162.15K,11월 29일,
,씨엔플러스,594,598,580,-4,-0.67%,161.42K,11월 29일,
,대성엘텍,679,686,665,2,0.30%,160.69K,11월 29일,
,알에프텍,"4,965","4,965","4,750",85,1.74%,159.48K,11월 29일,
,로보로보,"6,420","6,520","6,250",100,1.58%,159.47K,11월 29일,
,피델릭스,"1,290","1,295","1,260",10,0.78%,158.68K,11월 29일,
,소니드,"3,895","3,930","3,740",105,2.77%,158.55K,11월 29일,
,에이디칩스,307,312,305,-1,-0.32%,157.58K,11월 29일,
,에이치엘비제약,"12,200","12,550","12,000",50,0.41%,157.56K,11월 29일,
,디에이테크놀로지,"4,100","4,230","4,065",-125,-2.96%,157.52K,11월 29일,
,3S,"2,495","2,525","2,460",-10,-0.40%,157.16K,11월 29일,
,대화제약,"10,750","10,750","10,300",150,1.42%,156.15K,11월 29일,
,인성정보,"1,945","1,960","1,915",0,0.00%,156.05K,11월 29일,
,성호전자,"1,380","1,385","1,370",5,0.36%,154.75K,11월 29일,
,알에프세미,"2,640","2,670","2,535",35,1.34%,153.54K,11월 29일,
,에스앤에스텍,"28,050","28,150","27,250",350,1.26%,152.88K,11월 29일,
,엔시트론,630,632,620,-3,-0.47%,152.44K,11월 29일,
,도이치모터스,"6,330","6,430","6,260",-10,-0.16%,150.00K,11월 29일,
,바른손이앤에이,928,949,915,-2,-0.22%,149.79K,11월 29일,
,에너토크,"10,150","10,200","9,990",0,0.00%,149.22K,11월 29일,
,제이엠아이,"1,125","1,125","1,070",40,3.69%,148.72K,11월 29일,
,차바이오텍,"13,750","13,900","13,300",300,2.23%,147.58K,11월 29일,
,우리로,"1,250","1,250","1,170",55,4.60%,147.15K,11월 29일,
,제일테크노스,"8,300","8,380","7,880",290,3.62%,146.96K,11월 29일,
,클래시스,"18,950","19,100","18,550",150,0.80%,146.58K,11월 29일,
,케이피엠테크,392,395,385,3,0.77%,146.42K,11월 29일,
,헬릭스미스,"13,150","13,350","12,450",-50,-0.38%,146.36K,11월 29일,
,아비코전자,"11,550","11,800","11,400",250,2.21%,146.06K,11월 29일,
,노블엠앤비,"2,640","2,885","2,590",10,0.38%,145.71K,11월 29일,
,넥스트아이,621,621,581,17,2.81%,145.29K,11월 29일,
,뉴지랩파마,"8,950","8,990","8,730",20,0.22%,143.70K,11월 29일,
,위지트,720,723,702,3,0.42%,142.69K,11월 29일,
,아이윈,"1,495","1,505","1,470",10,0.67%,141.40K,11월 29일,
,내츄럴엔도텍,"3,590","3,650","3,385",170,4.97%,141.02K,11월 29일,
,고영,"13,800","13,950","13,550",-100,-0.72%,141.00K,11월 29일,
