,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,에버소스 에너지,81.04,81.7,80.53,-0.68,-0.83%,245.69K,0:53:38,
,해즈브로,62.68,63.11,61.81,0.91,1.47%,242.04K,0:53:51,
,보그워너,42.16,42.28,41.68,0.63,1.52%,241.67K,0:54:02,
,S&P Global,350.38,351.73,348.11,-0.63,-0.18%,239.42K,0:54:07,
,처브,216.91,217.14,214.74,1.51,0.70%,240.95K,0:54:00,
,암페놀,77.91,78.25,77.78,0.09,0.12%,238.37K,0:54:04,
,CMS,60.35,60.49,59.64,-0.45,-0.74%,235.02K,0:53:27,
,울타 뷰티,449.61,457.31,449.61,-7.63,-1.67%,236.13K,0:53:31,
,코르테바,65.58,65.74,65.01,0.65,1.00%,234.45K,0:54:01,
,바이오젠,291.3,293.83,288.44,-0.6,-0.21%,230.73K,0:53:53,
,Principal Financial,90.18,90.39,89.23,0.64,0.71%,229.69K,0:52:45,
,아메리칸 타워,215.38,215.83,213.32,1.48,0.69%,233.26K,0:54:00,
,킴벌리클라크,132.72,133.2,132.26,-0.58,-0.44%,228.83K,0:53:05,
,엔터지,112.69,112.92,111.81,-0.56,-0.49%,230.30K,0:54:02,
,다든 레스토랑,145.12,146.21,144.55,-1.7,-1.16%,229.76K,0:54:02,
,디지털리얼,108.93,108.99,107.31,1.45,1.35%,230.40K,0:54:09,
,일렉트로닉 아츠,128.03,128.72,127.46,-0.13,-0.10%,228.39K,0:54:10,
,휴매너,532.64,535.05,530.02,-1.65,-0.31%,226.60K,0:54:13,
,나스닥,66.43,66.72,65.93,0.16,0.24%,224.07K,0:54:04,
,램웨스턴,85.21,86.4,85.21,-0.26,-0.30%,224.22K,0:54:08,
,스테이트 스트리트,73.75,73.88,72.85,0.23,0.32%,223.73K,0:54:03,
,브로드컴,523.43,525.85,522.08,1.22,0.23%,222.51K,0:54:13,
,알래스카 항공,46.22,46.41,45.87,0.44,0.96%,221.83K,0:52:25,
,CME그룹,173.78,174.1,172.77,0.65,0.38%,216.55K,0:54:13,
,올스테이트,132.38,132.69,130.03,0.51,0.39%,213.53K,0:54:15,
,아비오메드,377.5,377.83,377.37,0.27,0.07%,210.98K,0:52:55,
,이튼,162.17,162.98,161.65,-0.38,-0.23%,214.15K,0:54:03,
,트레인 테크놀로지,174.85,175.69,174.4,0.46,0.26%,213.69K,0:54:14,
,M&T 뱅크,171.17,171.29,169.45,1.65,0.97%,208.55K,0:54:03,
,파카 하니핀,295.81,299,294.48,0.74,0.25%,208.23K,0:53:29,
,인튜이티브 서지컬,261.09,262.99,261.09,-1.55,-0.59%,202.21K,0:54:11,
,일리노이 툴 웍스,223.12,224.91,222.98,-1.04,-0.46%,201.48K,0:52:48,
,아메텍,139.43,139.9,138.84,0.07,0.05%,195.89K,0:53:23,
,레나,86.26,86.26,84.67,0.91,1.07%,194.70K,0:54:15,
,어드밴스 오토파츠,148.91,150.67,148.36,-1.71,-1.13%,194.17K,0:54:09,
,헨리 샤인,80.95,80.99,80,0.67,0.83%,191.60K,0:54:00,
